dataset,CC(rf),CC(bcts(rf)),ACC(rf),ACC(bcts(rf)),PCC(rf),PCC(bcts(rf)),PACC(rf),PACC(bcts(rf)),EMQ(rf),EMQ(bcts(rf)),FM(rf),FM(bcts(rf)),DyS(rf),DyS(bcts(rf)),MS(rf),MS(bcts(rf)),HDy(rf),HDy(bcts(rf)),KDEyML(rf),KDEyML(bcts(rf)),MLQ(rf),MLQ(bcts(rf)),"QuantCal(rf,3)","QuantCal(bcts(rf),3)","QuantCal(rf,5)","QuantCal(bcts(rf),5)","QuantCal(rf,10)","QuantCal(bcts(rf),10)","QuantCal(lr,3)","QuantCal(bcts(lr),3)","QuantCal(lr,5)","QuantCal(bcts(lr),5)","QuantCal(lr,10)","QuantCal(bcts(lr),10)","QuantCal(knn,3)","QuantCal(bcts(knn),3)","QuantCal(knn,5)","QuantCal(bcts(knn),5)","QuantCal(knn,10)","QuantCal(bcts(knn),10)"
1504_steel-plates-fault,0.0,0.0,0.0055209326844099,0.0056999235698747,0.0630999999999998,0.012350093150060752,0.009941967675763,0.0055756866866373996,0.03069241807819165,0.00400932492683705,0.0062701607909809,0.0054517601110594,0.0043041958031247,0.0032746422952905,0.0051439422146102,0.0045601851851851,0.02,0.0099999999999999,0.0011452465892812002,0.0001070242983772,0.0090466863164703,0.0077488043535726,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7208456881689926e-15,1.6653345369377348e-15,0.0061053984575747,0.0057005567573366,0.0059840312579649,0.0061240349258939,0.0051628598459093,0.0049667519181613,0.0,0.0,0.0,0.0,0.0,0.0
1507_twonorm,0.0199999999999999,0.0199999999999999,0.0110483335000107,0.0110483335000107,0.0924999999999999,0.031076667840984902,0.013058806984800851,0.00995969675851055,0.0409961361932238,0.00813993856947195,0.0110462536500493,0.0110462536500493,0.008108445216224901,0.0081417732463498,0.00987568574498365,0.0091380148328896,0.0299999999999999,0.01,0.0114969651727818,0.010859504430824299,0.0105263157909231,0.0107142857148028,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7347234759768069e-15,1.7347234759768069e-15,0.011555884256266,0.0112732246665997,0.0113443664093844,0.0111682442861721,0.0111682442861738,0.0115558842562516,0.0,0.0,0.0,0.0,0.0,0.0
1526_wall-robot-navigation,0.0,0.0,0.0,0.0001044740253058,0.0014999999999999,0.0007851085024467,0.00091219856193175,0.0006141919248201,0.0005614369154227,0.00029888291437619996,8.79156886035154e-05,8.79156886035154e-05,0.0013888046295979,0.0011562968231617,8.143710388544556e-05,8.791208791211758e-05,0.0,0.0,1.3848390989140702e-05,1.3848500443988665e-05,7.019385073192552e-13,7.462641615774146e-13,3.469446951953614e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7208456881689926e-15,1.6930901125533637e-15,7.771561172376097e-16,7.771561172376097e-16,2.6367796834847468e-15,2.6367796834847468e-15,1.609823385706477e-15,1.609823385706477e-15,0.0,0.0,0.0,0.0,0.0,0.0
1535_volcanoes-b5,0.31,0.35,0.063639588035582,0.0781438167569366,0.30899999999999994,0.3398991110102717,0.051686481095049655,0.05315229010324085,0.10137929542093635,0.11706238343803291,0.0556275506551514,0.0590751538795016,0.05281891867213945,0.053820395992373746,0.054595090726787296,0.0579205509178273,0.1899999999999999,0.19,0.27766315099303596,0.2723369957453913,0.07143062934931704,0.0695600043469688,0.0999999999999996,0.0999999999999998,0.0999999999999985,0.0999999999999994,0.0999999999999978,0.0999999999999998,0.0684263505200586,0.075029655990492,0.0653179190751562,0.0738718157351707,0.06345534344736875,0.0718581241629771,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999
1538_volcanoes-d1,0.4399999999999999,0.5,0.128841190844368,0.5,0.3782999999999999,0.4045821430971453,0.0646324903019283,0.06420150078032985,0.12828842885513236,0.14173910279854862,0.0731527276860183,0.0766267395845005,0.0648801987929925,0.061689459201523994,0.0883962128154407,0.4,0.18,0.0999999999999999,0.4038133600779365,0.386173099098187,0.1499965037859217,0.2999999999999991,0.1000000000000009,0.29954227272727274,0.1000000000000015,0.2997443636363637,0.1000000000000038,0.299775636363635,0.12909836065573715,0.2999999999999995,0.127748691099291,0.2999999999999997,0.1233009708733298,0.2999999999999957,0.1,0.5,0.1,0.5,0.1,0.5
1539_volcanoes-d2,0.43,0.5,0.116292759706191,0.4,0.3715999999999999,0.3986410700112521,0.0626875985970762,0.0584269629391993,0.11715540360010784,0.12383901912020925,0.0633053238512481,0.06572787587394915,0.0586003279190079,0.0564861124540111,0.08244371336197365,0.24848743811789809,0.17,0.0999999999999999,0.39764833496127444,0.37168257768470925,0.1330635703360728,0.2999999999999976,0.1000000000000003,0.2989257575757574,0.1000000000000009,0.250517674780912,0.100000000000001,0.2996918181818171,0.1079261025029814,0.2999988585710526,0.1195964125561985,0.2999999999999997,0.1117475728160302,0.2999999999999957,0.1,0.4,0.1,0.4,0.1,0.4
1540_volcanoes-d3,0.43,0.5,0.112421686325295,0.4,0.3676,0.3951517604479901,0.06181371595653685,0.05904825534748975,0.1089922513876801,0.1232079408806348,0.0669750088014865,0.0670729781880153,0.057274315476519594,0.055943525083513704,0.08066894689131016,0.1999999999999999,0.16,0.0999999999999999,0.3940255658221359,0.36528612078609063,0.1244706812523012,0.2999999999999978,0.1000000000000003,0.2503793058154028,0.1000000000000009,0.2990309090909088,0.1000000000000001,0.2995960909090901,0.107578475336284,0.2999999999999995,0.1073770491801494,0.2999999999999997,0.1000000000003682,0.2999999999999957,0.1,0.4,0.1,0.4,0.1,0.4
1541_volcanoes-d4,0.4399999999999999,0.5,0.1375356065877987,0.4,0.37629999999999997,0.40197385991564605,0.06789396382370319,0.0647385424902231,0.12410369142014654,0.1354228236280131,0.0678543323301641,0.071323113084357,0.0619609901214325,0.05975242799839145,0.09550070854771135,0.3712059496258889,0.1799999999999999,0.1,0.40195144780867964,0.3879370114287063,0.1593171485269273,0.2999999999999985,0.100000000000001,0.2996199999999998,0.1000000000000015,0.2997879999999998,0.1000000000000038,0.299777000000001,0.1373720136518984,0.2999999999999995,0.1272455089818634,0.2999999999999997,0.1326002587325755,0.2999999999999957,0.1,0.5,0.1,0.5,0.1,0.5
1566_hill-valley,0.22,0.22,0.1842852314971277,0.2156663275686675,0.24750000000000005,0.28226761514428184,0.1450668597323265,0.1999999999999999,0.15539990292460784,0.14179779139573656,0.1842846657600074,0.1999999999999999,0.1497062455746176,0.1999554476059523,0.1532565528196979,0.3,0.18,0.2,0.21826417809555998,0.20773383345024615,0.1999076349415581,0.2000000000000001,0.1999999999999998,0.2999999999999995,0.1999999999999993,0.2000033733772889,0.199999999999999,0.2000000000000022,0.19336413246987535,0.1999999999999999,0.1974728087011466,0.3,0.1803724928368134,0.1999999999999999,0.1999999999999999,0.2,0.1999999999999999,0.1999999999999999,0.1999999999999999,0.2
182_satimage,0.01,0.01,0.0082584431907734,0.0077389008241202,0.0273,0.016789126494898,0.00725504018045235,0.0065797786022146,0.0073550051045895,0.004208841447939,0.0065740559501334,0.0058760224469715,0.0048888542949645005,0.0048993547397372,0.0058306569632632,0.0058320912253091994,0.01,0.01,0.00999761323607555,0.0100051466346789,0.0095804475354744,0.0086164588966042,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.3253287356462806e-15,1.6653345369377348e-15,1.6653345369377348e-15,0.0085706511881015,0.007652514535648,0.0082124187795885,0.0075553357240237,0.0082383160005041,0.0076525145356501,0.0,0.0,0.0,0.0,0.0,0.0
